t_s,cmd_rad,pos_rad
0.01985,-0.00512,-0.00512
0.03984,-0.00292,-0.00512
0.05983,-0.00072,-0.00512
0.07983,0.00148,-0.00512
0.09983,0.00368,-0.00512
0.11983,0.00587,-0.00512
0.13983,0.00807,-0.00512
0.15983,0.01025,-0.00512
0.17983,0.01242,-0.00512
0.19982,0.01458,-0.00512
0.21982,0.01673,0.00000
0.23982,0.01886,0.00512
0.25982,0.02097,0.00512
0.27982,0.02306,0.01024
0.29982,0.02512,0.01024
0.31982,0.02716,0.01535
0.33982,0.02916,0.01535
0.35982,0.03114,0.01535
0.37982,0.03308,0.02047
0.39981,0.03499,0.02047
0.41981,0.03685,0.02047
0.43981,0.03868,0.02047
0.45981,0.04046,0.02559
0.47981,0.04220,0.02559
0.49984,0.04388,0.02559
0.51484,0.04552,0.03071
0.53181,0.04711,0.03071
0.55180,0.04864,0.03071
0.57181,0.05011,0.03583
0.59180,0.05152,0.03583
0.61180,0.05287,0.03583
0.63180,0.05416,0.03583
0.65180,0.05539,0.03583
0.67180,0.05654,0.03583
0.69180,0.05763,0.04095
0.71184,0.05864,0.04095
0.73180,0.05958,0.04095
0.75180,0.06045,0.04095
0.77179,0.06124,0.04095
0.79179,0.06195,0.05118
0.81180,0.06259,0.04095
0.83180,0.06314,0.05118
0.85180,0.06361,0.05118
0.87180,0.06400,0.05118
0.89180,0.06430,0.05118
0.91180,0.06452,0.05118
0.93180,0.06465,0.05118
0.95180,0.06469,0.05118
0.97178,0.06465,0.05630
0.99178,0.06452,0.05630
1.01178,0.06430,0.05630
1.03178,0.06398,0.05630
1.05178,0.06358,0.05630
1.07178,0.06309,0.05630
1.09178,0.06251,0.05630
1.11178,0.06184,0.05630
1.13177,0.06107,0.05630
1.15178,0.06022,0.05630
1.17177,0.05928,0.05630
1.19177,0.05825,0.05630
1.21177,0.05714,0.05630
1.23177,0.05593,0.05630
1.25177,0.05464,0.05630
1.27177,0.05327,0.05630
1.29177,0.05181,0.05630
1.31177,0.05027,0.05630
1.33177,0.04864,0.05630
1.35176,0.04694,0.05118
1.37176,0.04516,0.05118
1.39176,0.04331,0.05118
1.41176,0.04138,0.05118
1.43176,0.03938,0.05118
1.45176,0.03732,0.04095
1.47176,0.03518,0.04095
1.49176,0.03298,0.03583
1.51175,0.03073,0.03071
1.53176,0.02841,0.03071
1.55175,0.02604,0.03071
1.57175,0.02361,0.03071
1.59175,0.02114,0.03071
1.61175,0.01862,0.02559
1.63175,0.01606,0.02047
1.65175,0.01346,0.01535
1.67175,0.01082,0.01535
1.69175,0.00815,0.01024
1.71175,0.00546,0.01024
1.73174,0.00274,0.01024
1.75174,0.00001,0.00512
1.77174,-0.00274,0.00000
1.79174,-0.00551,0.00000
1.81174,-0.00827,-0.00512
1.83174,-0.01105,-0.00512
1.85174,-0.01381,-0.00512
1.87174,-0.01658,-0.01024
1.89174,-0.01933,-0.01535
1.91173,-0.02206,-0.01535
1.93173,-0.02478,-0.02047
1.95173,-0.02747,-0.02047
1.97173,-0.03013,-0.02047
1.99173,-0.03275,-0.03071
2.01173,-0.03534,-0.03071
2.03173,-0.03789,-0.03071
2.05173,-0.04038,-0.03071
2.07173,-0.04282,-0.03583
2.09173,-0.04521,-0.04095
2.11173,-0.04753,-0.04095
2.13173,-0.04979,-0.04095
2.15174,-0.05197,-0.04606
2.17174,-0.05409,-0.05118
2.19172,-0.05612,-0.05118
2.21172,-0.05806,-0.05118
2.23172,-0.05992,-0.05118
2.25172,-0.06169,-0.06142
2.27173,-0.06337,-0.06142
2.29172,-0.06494,-0.06142
2.31171,-0.06641,-0.06142
2.33171,-0.06777,-0.06142
2.35171,-0.06903,-0.06654
2.37171,-0.07017,-0.06654
