t_s,cmd_rad,pos_rad
0.01764,-0.01024,-0.02047
0.03764,-0.00804,-0.02047
0.05763,-0.00584,-0.02047
0.07763,-0.00364,-0.02047
0.09763,-0.00144,-0.01535
0.11663,0.00076,-0.01535
0.13763,0.00295,-0.01535
0.15663,0.00513,-0.01024
0.17763,0.00730,-0.01024
0.19763,0.00946,-0.01024
0.21762,0.01161,-0.01024
0.23762,0.01374,-0.00512
0.25762,0.01585,-0.00512
0.27762,0.01794,-0.00512
0.29762,0.02000,-0.00512
0.31662,0.02204,0.00000
0.33762,0.02404,0.00000
0.35662,0.02602,0.00000
0.37762,0.02796,0.00000
0.39661,0.02987,0.00000
0.41762,0.03173,0.01024
0.43761,0.03356,0.01024
0.45761,0.03534,0.01024
0.47761,0.03708,0.01024
0.49762,0.03877,0.01024
0.51662,0.04040,0.01535
0.53762,0.04199,0.01535
0.55762,0.04352,0.02047
0.57762,0.04499,0.02047
0.59662,0.04640,0.02047
0.61360,0.04776,0.02559
0.63360,0.04904,0.02559
0.65360,0.05027,0.02559
0.67360,0.05142,0.02559
0.69360,0.05251,0.02559
0.71360,0.05352,0.03071
0.73361,0.05447,0.03071
0.75360,0.05533,0.03071
0.77360,0.05612,0.04095
0.79359,0.05684,0.04095
0.81360,0.05747,0.04095
0.83359,0.05802,0.04095
0.85359,0.05849,0.04095
0.87359,0.05888,0.04095
0.89359,0.05918,0.04095
0.91359,0.05940,0.04095
0.93359,0.05953,0.04095
0.95359,0.05958,0.04095
0.97358,0.05953,0.04095
0.99358,0.05940,0.04095
1.01358,0.05918,0.04095
1.03358,0.05887,0.04095
1.05358,0.05846,0.04095
1.07358,0.05797,0.04095
1.09358,0.05739,0.04095
1.11358,0.05672,0.04095
1.13358,0.05596,0.03071
1.15358,0.05510,0.04095
1.17357,0.05416,0.04095
1.19357,0.05314,0.04095
1.21357,0.05202,0.04095
1.23357,0.05081,0.03583
1.25357,0.04952,0.03583
1.27357,0.04815,0.03071
1.29357,0.04669,0.03583
1.31357,0.04515,0.03071
1.33357,0.04353,0.03071
1.35357,0.04183,0.03071
1.37356,0.04005,0.03071
1.39356,0.03819,0.03071
1.41356,0.03626,0.03071
1.43356,0.03427,0.03071
1.45356,0.03220,0.03071
1.47356,0.03006,0.03071
1.49356,0.02787,0.03071
1.51356,0.02561,0.02559
1.53356,0.02329,0.02559
1.55355,0.02092,0.02559
1.57355,0.01849,0.02559
1.59355,0.01602,0.02047
1.61355,0.01350,0.02047
1.63355,0.01094,0.01535
1.65360,0.00834,0.01535
1.67355,0.00570,0.01535
1.69355,0.00304,0.01535
1.71355,0.00034,0.01024
1.73355,-0.00237,0.00512
1.75355,-0.00511,0.00512
1.77355,-0.00786,0.00512
1.79355,-0.01062,0.00000
1.81356,-0.01339,0.00000
1.83354,-0.01616,-0.00512
1.85354,-0.01893,-0.00512
1.87354,-0.02170,-0.01024
1.89353,-0.02445,-0.01024
1.91353,-0.02718,-0.01024
1.93353,-0.02990,-0.01535
1.95353,-0.03259,-0.01535
1.97353,-0.03525,-0.02047
1.99353,-0.03787,-0.02047
2.01353,-0.04046,-0.02559
2.03353,-0.04300,-0.03071
2.05353,-0.04550,-0.03071
2.07353,-0.04794,-0.03071
2.09353,-0.05033,-0.03583
2.11352,-0.05265,-0.03583
2.13352,-0.05491,-0.04095
2.15352,-0.05709,-0.04095
2.17352,-0.05920,-0.04606
2.19352,-0.06124,-0.04606
2.21352,-0.06318,-0.05118
2.23352,-0.06504,-0.05630
2.25352,-0.06681,-0.05630
2.27351,-0.06848,-0.05630
2.29351,-0.07006,-0.05630
2.31351,-0.07153,-0.05630
2.33351,-0.07289,-0.05630
2.35351,-0.07414,-0.05630
2.37351,-0.07529,-0.05630
2.39351,-0.07631,-0.05630
2.41351,-0.07722,-0.06142
2.43351,-0.07800,-0.06142
2.45351,-0.07866,-0.06142
2.47351,-0.07920,-0.06142
2.49350,-0.07960,-0.07166
2.51350,-0.07988,-0.07166
2.53350,-0.08003,-0.07166
2.55350,-0.08004,-0.07166
2.57350,-0.07992,-0.07166
2.59350,-0.07966,-0.07166
2.61350,-0.07927,-0.07166
2.63350,-0.07875,-0.07166
2.65350,-0.07809,-0.07166
2.67349,-0.07729,-0.07166
2.69349,-0.07636,-0.07166
2.71349,-0.07529,-0.07166
2.73349,-0.07409,-0.07166
2.75349,-0.07277,-0.07166
2.77349,-0.07131,-0.07166
2.79349,-0.06972,-0.07166
2.81349,-0.06801,-0.07166
2.83349,-0.06617,-0.07166
2.85348,-0.06422,-0.07166
2.87348,-0.06215,-0.07166
2.89348,-0.05996,-0.07166
2.91348,-0.05766,-0.07166
2.93349,-0.05526,-0.07166
2.95349,-0.05276,-0.07166
2.97349,-0.05016,-0.06142
2.99350,-0.04747,-0.06142
3.01350,-0.04469,-0.05630
3.03350,-0.04183,-0.06142
3.05348,-0.03889,-0.05630
3.07348,-0.03588,-0.05118
3.09347,-0.03281,-0.05118
3.11347,-0.02968,-0.04606
3.13347,-0.02650,-0.04606
3.15347,-0.02328,-0.04095
3.17347,-0.02002,-0.04095
3.19347,-0.01672,-0.04095
3.21347,-0.01341,-0.04095
3.23346,-0.01008,-0.03583
3.25346,-0.00673,-0.03071
3.27346,-0.00339,-0.03071
3.29346,-0.00006,-0.02559
3.31346,0.00326,-0.02559
3.33346,0.00656,-0.02047
3.35346,0.00982,-0.01535
3.37346,0.01305,-0.01024
3.39346,0.01623,-0.01024
3.41345,0.01935,-0.00512
3.43345,0.02241,0.00000
3.45345,0.02541,0.00000
3.47345,0.02832,0.00512
3.49345,0.03115,0.01024
3.51345,0.03388,0.01024
3.53345,0.03651,0.01535
3.55345,0.03903,0.01535
3.57345,0.04144,0.01535
3.59345,0.04372,0.01535
3.61344,0.04588,0.02047
3.63344,0.04789,0.02559
3.65345,0.04977,0.02047
3.67344,0.05149,0.02559
3.69344,0.05307,0.02559
3.71344,0.05448,0.03071
3.73344,0.05573,0.03071
3.75344,0.05681,0.03071
3.77343,0.05772,0.03071
3.79343,0.05845,0.03071
3.81343,0.05900,0.03583
3.83343,0.05937,0.03583
3.85343,0.05956,0.04095
3.87344,0.05955,0.04095
3.89343,0.05936,0.04095
3.91343,0.05898,0.04095
3.93343,0.05840,0.04095
