t_s,cmd_rad,pos_rad
0.01845,0.00000,0.00000
0.03845,0.00220,0.00000
0.05845,0.00440,0.00000
0.07845,0.00660,0.00000
0.09845,0.00880,0.00000
0.11845,0.01099,0.00000
0.13845,0.01318,0.00000
0.15845,0.01537,0.00000
0.17845,0.01754,0.00000
0.19845,0.01970,0.00000
0.21844,0.02185,0.00512
0.23844,0.02398,0.00512
0.25844,0.02609,0.01024
0.27844,0.02817,0.01024
0.29844,0.03024,0.01024
0.31844,0.03227,0.01535
0.33844,0.03428,0.01535
0.35844,0.03626,0.01535
0.37844,0.03820,0.01535
0.39843,0.04010,0.01535
0.41843,0.04197,0.02047
0.43843,0.04380,0.02047
0.45843,0.04558,0.02047
0.47843,0.04731,0.02047
0.49843,0.04900,0.02559
0.51843,0.05064,0.02559
0.53843,0.05222,0.03071
0.55843,0.05375,0.02559
0.57842,0.05523,0.03071
0.59842,0.05664,0.03071
0.61842,0.05799,0.03583
0.63842,0.05928,0.03583
0.65842,0.06050,0.03583
0.67842,0.06166,0.03583
0.69842,0.06275,0.04095
0.72242,0.06376,0.04095
0.74241,0.06470,0.04095
0.76242,0.06557,0.04095
0.78242,0.06636,0.04095
0.80241,0.06707,0.04095
0.82241,0.06771,0.04095
0.84241,0.06826,0.04095
0.86241,0.06873,0.04095
0.88241,0.06912,0.04095
0.90241,0.06942,0.05118
0.92241,0.06964,0.05118
0.94242,0.06977,0.05118
0.96242,0.06981,0.05118
0.98242,0.06977,0.05118
1.00242,0.06964,0.05118
1.02240,0.06941,0.05118
1.04240,0.06910,0.05118
1.06240,0.06870,0.05118
1.08240,0.06821,0.05118
1.10240,0.06763,0.05118
1.12240,0.06695,0.05118
1.14239,0.06619,0.05118
1.16239,0.06534,0.05118
1.18239,0.06440,0.05118
1.20239,0.06337,0.05118
1.22239,0.06225,0.05118
1.24239,0.06105,0.05118
1.26239,0.05976,0.05118
1.28239,0.05839,0.05118
1.30239,0.05693,0.05118
1.32239,0.05539,0.05118
1.34238,0.05376,0.05118
1.36238,0.05206,0.05118
1.38238,0.05028,0.04095
1.40238,0.04843,0.05118
1.42238,0.04650,0.05118
1.44238,0.04450,0.05118
1.46238,0.04244,0.05118
1.48238,0.04030,0.04095
1.50237,0.03810,0.04095
1.52238,0.03584,0.04095
1.54237,0.03353,0.03583
1.56237,0.03115,0.03583
1.58237,0.02873,0.03583
1.60237,0.02626,0.03583
1.62237,0.02374,0.03071
1.64237,0.02117,0.03071
1.66237,0.01857,0.03071
1.68237,0.01594,0.02559
1.70236,0.01327,0.02559
1.72237,0.01058,0.02559
1.74236,0.00786,0.02047
1.76236,0.00513,0.02047
1.78236,0.00237,0.01535
1.80236,-0.00039,0.01535
1.82236,-0.00316,0.00512
1.84236,-0.00593,0.00512
1.86236,-0.00870,0.00512
1.88236,-0.01146,0.00512
1.90235,-0.01421,0.00000
1.92235,-0.01694,-0.00512
1.94235,-0.01966,-0.00512
1.96235,-0.02235,-0.00512
1.98235,-0.02501,-0.01024
2.00235,-0.02764,-0.01024
2.02235,-0.03022,-0.01535
2.04235,-0.03277,-0.01535
2.06235,-0.03526,-0.02047
2.08235,-0.03771,-0.02047
2.10235,-0.04009,-0.02047
2.12235,-0.04241,-0.02047
2.14235,-0.04467,-0.02559
2.16235,-0.04686,-0.02559
2.18235,-0.04897,-0.03071
2.20235,-0.05100,-0.04095
2.22235,-0.05295,-0.04095
2.24235,-0.05481,-0.04095
2.26233,-0.05657,-0.04095
2.28233,-0.05825,-0.04095
2.30233,-0.05982,-0.04095
2.32233,-0.06129,-0.04606
2.34233,-0.06265,-0.05118
2.36233,-0.06391,-0.05118
2.38233,-0.06505,-0.05118
2.40233,-0.06607,-0.05118
2.42233,-0.06698,-0.05630
2.44233,-0.06776,-0.05630
2.46233,-0.06843,-0.05630
2.48233,-0.06896,-0.05630
2.50232,-0.06937,-0.05630
2.52232,-0.06964,-0.05630
2.54232,-0.06979,-0.05630
2.56232,-0.06980,-0.05630
2.58232,-0.06968,-0.06142
2.60232,-0.06943,-0.06142
2.62231,-0.06904,-0.06142
2.64231,-0.06851,-0.06142
2.66231,-0.06785,-0.06142
2.68232,-0.06705,-0.06142
2.70232,-0.06612,-0.06142
2.72232,-0.06506,-0.06142
2.74232,-0.06386,-0.06142
2.76231,-0.06253,-0.06142
2.78231,-0.06107,-0.05630
2.80231,-0.05948,-0.05630
2.82231,-0.05777,-0.05630
2.84231,-0.05594,-0.05630
2.86231,-0.05398,-0.05630
2.88231,-0.05191,-0.05630
2.90231,-0.04972,-0.05630
2.92230,-0.04743,-0.05630
2.94230,-0.04503,-0.05630
2.96230,-0.04252,-0.05630
2.98230,-0.03992,-0.05630
3.00230,-0.03723,-0.05118
3.02230,-0.03445,-0.05118
3.04230,-0.03159,-0.05118
3.06230,-0.02866,-0.04095
3.08230,-0.02565,-0.04095
3.10230,-0.02258,-0.04095
3.12229,-0.01945,-0.04095
3.14229,-0.01627,-0.04095
3.16229,-0.01304,-0.03071
3.18229,-0.00978,-0.03071
3.20229,-0.00649,-0.03071
3.22329,-0.00317,-0.02559
3.24229,0.00016,-0.02047
3.26229,0.00350,-0.01024
3.28229,0.00684,-0.01024
3.30229,0.01018,-0.00512
3.32229,0.01350,-0.00512
3.34229,0.01679,-0.00512
3.36229,0.02006,0.00000
3.38229,0.02328,0.00000
3.40229,0.02646,0.00000
3.42229,0.02959,0.01024
3.44229,0.03265,0.01535
3.46229,0.03564,0.01535
3.48228,0.03856,0.02047
3.50227,0.04138,0.02047
3.52227,0.04411,0.02047
3.54227,0.04675,0.02559
3.56227,0.04927,0.03071
3.58227,0.05167,0.02047
3.60227,0.05396,0.03071
3.62227,0.05611,0.03071
3.64226,0.05813,0.03583
3.66227,0.06000,0.04095
3.68226,0.06173,0.03583
3.70226,0.06330,0.03583
3.72226,0.06472,0.04095
3.74226,0.06597,0.04095
3.76226,0.06705,0.04095
3.78226,0.06796,0.04095
3.80226,0.06869,0.03583
3.82225,0.06924,0.04095
3.84225,0.06961,0.04095
3.86225,0.06979,0.05118
3.88225,0.06979,0.05118
3.90225,0.06959,0.05118
3.92225,0.06921,0.05118
3.94225,0.06864,0.05118
3.96225,0.06788,0.05118
3.98225,0.06693,0.05118
4.00225,0.06579,0.05118
4.02224,0.06446,0.05118
4.04225,0.06295,0.05118
4.06224,0.06126,0.05118
4.08224,0.05939,0.05118
4.10224,0.05734,0.05118
4.12224,0.05513,0.05118
4.14224,0.05275,0.05118
4.16224,0.05021,0.05118
4.18224,0.04752,0.05118
4.20224,0.04469,0.05118
4.22223,0.04171,0.05118
4.24223,0.03861,0.04095
4.26224,0.03538,0.04095
4.28223,0.03204,0.04095
4.30223,0.02859,0.03583
4.32223,0.02505,0.03583
4.34223,0.02142,0.03071
4.36223,0.01772,0.03071
4.38223,0.01395,0.02559
4.40222,0.01013,0.02559
4.42223,0.00627,0.02047
4.44222,0.00238,0.01535
4.46222,-0.00152,0.01024
4.48222,-0.00544,0.00512
4.50222,-0.00934,0.00512
4.52222,-0.01323,0.00000
4.54222,-0.01708,-0.00512
4.56222,-0.02089,-0.00512
4.58222,-0.02464,-0.01024
4.60222,-0.02833,-0.01024
4.62223,-0.03193,-0.01535
4.64223,-0.03543,-0.02047
4.66223,-0.03883,-0.02047
4.68323,-0.04210,-0.02047
4.70221,-0.04525,-0.02559
4.72221,-0.04825,-0.03071
4.74221,-0.05109,-0.03071
4.76220,-0.05378,-0.04095
4.78220,-0.05628,-0.04095
4.80220,-0.05860,-0.04095
4.82220,-0.06072,-0.04606
4.84220,-0.06264,-0.04606
4.86220,-0.06435,-0.05118
4.88220,-0.06584,-0.05118
4.90219,-0.06710,-0.05630
4.92219,-0.06813,-0.05630
4.94219,-0.06891,-0.05630
4.96319,-0.06946,-0.05630
4.98219,-0.06975,-0.05630
5.00319,-0.06980,-0.05630
5.02219,-0.06959,-0.06142
5.04319,-0.06913,-0.06142
5.06218,-0.06842,-0.06142
5.08318,-0.06745,-0.06142
5.10218,-0.06623,-0.06142
5.12318,-0.06476,-0.06142
5.14218,-0.06305,-0.06142
5.16318,-0.06109,-0.05630
5.18218,-0.05890,-0.05630
5.20318,-0.05648,-0.05630
5.22218,-0.05384,-0.05630
5.24318,-0.05098,-0.05630
5.26218,-0.04792,-0.05630
5.28417,-0.04467,-0.05630
5.30217,-0.04123,-0.05630
5.32317,-0.03762,-0.05630
5.34217,-0.03386,-0.05118
5.36317,-0.02995,-0.05118
5.38217,-0.02591,-0.04606
5.40317,-0.02176,-0.04095
5.42217,-0.01751,-0.04095
5.44316,-0.01318,-0.03071
5.46216,-0.00879,-0.03071
5.48316,-0.00434,-0.03071
5.50216,0.00013,-0.01535
5.52316,0.00461,-0.01024
5.54216,0.00909,-0.00512
5.56316,0.01354,-0.00512
5.58216,0.01795,0.00000
5.60316,0.02229,0.00000
5.62216,0.02655,0.00000
5.64316,0.03070,0.00512
5.66215,0.03474,0.01535
5.68315,0.03864,0.02047
5.70315,0.04238,0.02047
5.72315,0.04594,0.02559
5.74215,0.04932,0.02559
