t_s,cmd_rad,pos_rad
0.01857,0.00000,0.00512
0.03858,0.00220,0.00000
0.05857,0.00440,0.00512
0.07857,0.00660,0.00512
0.09858,0.00880,0.00512
0.11858,0.01099,0.00000
0.13856,0.01318,0.00512
0.15856,0.01537,0.00512
0.17856,0.01754,0.00512
0.19856,0.01970,0.00512
0.21856,0.02185,0.00512
0.23856,0.02398,0.01024
0.25855,0.02609,0.01535
0.27855,0.02817,0.01535
0.29855,0.03024,0.01535
0.31855,0.03227,0.01535
0.33855,0.03428,0.02047
0.35855,0.03626,0.02047
0.37855,0.03820,0.02559
0.39855,0.04010,0.02559
0.41855,0.04197,0.02559
0.43854,0.04380,0.03071
0.45855,0.04558,0.03071
0.47854,0.04731,0.03583
0.49854,0.04900,0.03583
0.51854,0.05064,0.03583
0.53854,0.05222,0.03583
0.55854,0.05375,0.03583
0.57854,0.05523,0.04095
0.59853,0.05664,0.04606
0.61854,0.05799,0.04606
0.63853,0.05928,0.04606
0.65853,0.06050,0.04606
0.67853,0.06166,0.05118
0.70254,0.06275,0.05118
0.72253,0.06376,0.05118
0.74254,0.06470,0.05118
0.76253,0.06557,0.05118
0.78253,0.06636,0.05118
0.80253,0.06707,0.05118
0.82253,0.06771,0.05630
0.84253,0.06826,0.05630
0.86252,0.06873,0.05630
0.88252,0.06912,0.05630
0.90252,0.06942,0.06142
0.92252,0.06964,0.06142
0.94253,0.06977,0.06142
0.96252,0.06981,0.06142
0.98252,0.06977,0.06142
1.00251,0.06964,0.06142
1.02251,0.06941,0.06142
1.04251,0.06910,0.06142
1.06251,0.06870,0.06142
1.08251,0.06821,0.06142
1.10251,0.06763,0.06142
1.12251,0.06695,0.06142
1.14252,0.06619,0.06142
1.16250,0.06534,0.06142
1.18250,0.06440,0.06142
1.20250,0.06337,0.06142
1.22250,0.06225,0.06142
1.24250,0.06105,0.06142
1.26251,0.05976,0.06142
1.28251,0.05839,0.06142
1.30252,0.05693,0.06142
1.32251,0.05539,0.06142
1.34253,0.05376,0.06142
1.36250,0.05206,0.05630
1.38250,0.05028,0.05118
1.40249,0.04843,0.05118
1.42249,0.04650,0.05118
1.44249,0.04450,0.05118
1.46249,0.04244,0.05118
1.48249,0.04030,0.04606
1.50249,0.03810,0.04606
1.52249,0.03584,0.04095
1.54249,0.03353,0.04095
1.56248,0.03115,0.04095
1.58248,0.02873,0.03583
1.60248,0.02626,0.03583
1.62248,0.02374,0.03583
1.64248,0.02117,0.03071
1.66248,0.01857,0.02559
1.68248,0.01594,0.02559
1.70247,0.01327,0.02047
1.72247,0.01058,0.02047
1.74248,0.00786,0.02047
1.76247,0.00513,0.01535
1.78247,0.00237,0.01024
1.80247,-0.00039,0.00512
1.82247,-0.00316,0.00512
1.84247,-0.00593,0.00000
1.86247,-0.00870,0.00000
1.88247,-0.01146,-0.00512
1.90247,-0.01421,-0.00512
1.92246,-0.01694,-0.00512
1.94248,-0.01966,-0.01024
1.96246,-0.02235,-0.01535
1.98246,-0.02501,-0.01535
2.00246,-0.02764,-0.01535
2.02246,-0.03022,-0.02047
2.04246,-0.03277,-0.02559
2.06246,-0.03526,-0.02559
2.08245,-0.03771,-0.02559
2.10246,-0.04009,-0.03071
2.12245,-0.04241,-0.03583
2.14246,-0.04467,-0.03583
2.16245,-0.04686,-0.03583
2.18245,-0.04897,-0.03583
2.20245,-0.05100,-0.03583
2.22245,-0.05295,-0.03583
2.24245,-0.05481,-0.04095
2.26245,-0.05657,-0.04095
2.28244,-0.05825,-0.05118
2.30244,-0.05982,-0.05118
2.32244,-0.06129,-0.05118
2.34244,-0.06265,-0.05630
2.36244,-0.06391,-0.05630
2.38244,-0.06505,-0.05630
2.40244,-0.06607,-0.06142
2.42244,-0.06698,-0.06142
2.44244,-0.06776,-0.06142
2.46244,-0.06843,-0.05630
2.48244,-0.06896,-0.06142
2.50244,-0.06937,-0.05630
2.52244,-0.06964,-0.06142
2.54244,-0.06979,-0.06142
2.56244,-0.06980,-0.06654
2.58244,-0.06968,-0.06654
2.60243,-0.06943,-0.06654
2.62243,-0.06904,-0.06654
2.64243,-0.06851,-0.06654
2.66242,-0.06785,-0.06654
2.68243,-0.06705,-0.06654
2.70242,-0.06612,-0.06142
2.72242,-0.06506,-0.06142
2.74242,-0.06386,-0.06142
2.76242,-0.06253,-0.06142
2.78242,-0.06107,-0.06142
2.80242,-0.05948,-0.06142
2.82241,-0.05777,-0.06142
2.84241,-0.05594,-0.06142
2.86241,-0.05398,-0.06142
2.88241,-0.05191,-0.06142
2.90241,-0.04972,-0.06142
2.92241,-0.04743,-0.06142
2.94241,-0.04503,-0.06142
2.96241,-0.04252,-0.06142
2.98241,-0.03992,-0.06142
3.00241,-0.03723,-0.06142
3.02241,-0.03445,-0.05630
3.04240,-0.03159,-0.05118
3.06240,-0.02866,-0.05118
3.08240,-0.02565,-0.04095
3.10240,-0.02258,-0.04095
3.12240,-0.01945,-0.03583
3.14240,-0.01627,-0.03071
3.16240,-0.01304,-0.02559
3.18240,-0.00978,-0.02559
3.20239,-0.00649,-0.02559
3.22239,-0.00317,-0.01024
3.24239,0.00016,-0.01535
3.26239,0.00350,-0.01535
3.28239,0.00684,-0.00512
3.30239,0.01018,-0.00512
3.32239,0.01350,0.00000
3.34239,0.01679,0.00512
3.36238,0.02006,0.00512
3.38239,0.02328,0.01024
3.40238,0.02646,0.01024
3.42238,0.02959,0.01535
3.44238,0.03265,0.01535
3.46238,0.03564,0.02047
3.48238,0.03856,0.02559
3.50238,0.04138,0.02559
3.52238,0.04411,0.03071
3.54238,0.04675,0.03071
3.56238,0.04927,0.03583
3.58238,0.05167,0.03583
3.60237,0.05396,0.03583
3.62237,0.05611,0.04606
3.64237,0.05813,0.04606
3.66237,0.06000,0.04606
3.68237,0.06173,0.04606
3.70237,0.06330,0.05118
3.72238,0.06472,0.05118
3.74238,0.06597,0.05118
3.76238,0.06705,0.05118
3.78238,0.06796,0.05118
3.80238,0.06869,0.05630
3.82236,0.06924,0.05630
3.84236,0.06961,0.05630
3.86236,0.06979,0.06142
3.88236,0.06979,0.06142
3.90236,0.06959,0.06142
3.92236,0.06921,0.06142
3.94236,0.06864,0.06142
3.96235,0.06788,0.06142
3.98235,0.06693,0.06142
4.00235,0.06579,0.06142
4.02235,0.06446,0.06142
4.04235,0.06295,0.06142
4.06235,0.06126,0.06142
4.08235,0.05939,0.06142
4.10234,0.05734,0.06142
4.12234,0.05513,0.06142
4.14234,0.05275,0.06142
4.16234,0.05021,0.05118
4.18234,0.04752,0.05118
4.20234,0.04469,0.05118
4.22234,0.04171,0.05118
