t_s,cmd_rad,pos_rad
0.01946,-0.01024,-0.01535
0.03946,-0.00804,-0.01535
0.05945,-0.00584,-0.01535
0.07946,-0.00364,-0.01535
0.09945,-0.00144,-0.01535
0.11945,0.00076,-0.01535
0.13945,0.00295,-0.01024
0.15945,0.00513,-0.00512
0.17945,0.00730,-0.00512
0.19945,0.00946,-0.00512
0.21945,0.01161,0.00000
0.23945,0.01374,0.00000
0.25944,0.01585,0.00512
0.27945,0.01794,0.00512
0.29944,0.02000,0.01024
0.31944,0.02204,0.01024
0.33945,0.02404,0.01024
0.35945,0.02602,0.01535
0.37945,0.02796,0.01535
0.39945,0.02987,0.01535
0.41945,0.03173,0.02047
0.43945,0.03356,0.02047
0.45945,0.03534,0.02559
0.47943,0.03708,0.02559
0.49943,0.03877,0.02559
0.51943,0.04040,0.02559
0.53943,0.04199,0.03071
0.55943,0.04352,0.03071
0.57943,0.04499,0.03583
0.59943,0.04640,0.03583
0.61943,0.04776,0.03583
0.63943,0.04904,0.03583
0.65942,0.05027,0.04095
0.67942,0.05142,0.04095
0.69942,0.05251,0.04095
0.71943,0.05352,0.04095
0.73942,0.05447,0.04095
0.75942,0.05533,0.04606
0.77942,0.05612,0.04606
0.79942,0.05684,0.04606
0.81941,0.05747,0.04606
0.83941,0.05802,0.04606
0.85941,0.05849,0.04606
0.87941,0.05888,0.04606
0.89941,0.05918,0.05118
0.91941,0.05940,0.05118
0.93941,0.05953,0.05118
0.95941,0.05958,0.05118
0.97940,0.05953,0.05118
0.99940,0.05940,0.05118
1.01941,0.05918,0.05118
1.03940,0.05887,0.05118
1.05940,0.05846,0.05118
1.07940,0.05797,0.05118
1.09940,0.05739,0.05118
1.11940,0.05672,0.05118
1.13940,0.05596,0.05118
1.15940,0.05510,0.05118
1.17939,0.05416,0.05118
1.19940,0.05314,0.05118
1.21939,0.05202,0.05118
1.23939,0.05081,0.05118
1.25939,0.04952,0.05118
1.27939,0.04815,0.05118
1.29939,0.04669,0.05118
1.31939,0.04515,0.05118
1.33939,0.04353,0.04606
1.35939,0.04183,0.04606
1.37938,0.04005,0.04095
1.39938,0.03819,0.03583
1.41938,0.03626,0.03583
1.43938,0.03427,0.03583
1.45938,0.03220,0.03583
1.47938,0.03006,0.03071
1.49938,0.02787,0.02559
1.51938,0.02561,0.02559
1.53938,0.02329,0.02559
1.55938,0.02092,0.02559
1.57938,0.01849,0.02047
1.59938,0.01602,0.02047
1.61938,0.01350,0.01535
1.63938,0.01094,0.01535
1.65939,0.00834,0.01024
1.67939,0.00570,0.01024
1.69937,0.00304,0.00512
1.71937,0.00034,0.00512
1.73937,-0.00237,0.00000
1.75936,-0.00511,0.00000
1.77936,-0.00786,-0.01024
1.79936,-0.01062,-0.01024
1.81936,-0.01339,-0.01024
1.83936,-0.01616,-0.01535
1.85936,-0.01893,-0.01535
1.87936,-0.02170,-0.02047
1.89936,-0.02445,-0.02047
1.91936,-0.02718,-0.02559
1.93936,-0.02990,-0.02559
1.95935,-0.03259,-0.03071
1.97935,-0.03525,-0.03071
1.99935,-0.03787,-0.03583
2.01935,-0.04046,-0.03583
2.03935,-0.04300,-0.04095
2.05935,-0.04550,-0.04095
2.07935,-0.04794,-0.04606
2.09935,-0.05033,-0.04606
2.11934,-0.05265,-0.05118
2.13934,-0.05491,-0.05118
2.15934,-0.05709,-0.05118
2.17934,-0.05920,-0.05118
2.19934,-0.06124,-0.06142
2.21934,-0.06318,-0.06142
2.23934,-0.06504,-0.06142
2.25934,-0.06681,-0.06654
2.27934,-0.06848,-0.06654
2.29934,-0.07006,-0.06654
2.31933,-0.07153,-0.07166
2.33933,-0.07289,-0.07166
2.35933,-0.07414,-0.07166
2.37934,-0.07529,-0.07166
2.39933,-0.07631,-0.07677
2.41933,-0.07722,-0.07677
2.43933,-0.07800,-0.07677
2.45933,-0.07866,-0.07677
2.47933,-0.07920,-0.07677
2.49932,-0.07960,-0.07677
2.51932,-0.07988,-0.08189
2.53932,-0.08003,-0.08189
2.55932,-0.08004,-0.08189
2.57933,-0.07992,-0.08189
2.59932,-0.07966,-0.08189
2.61933,-0.07927,-0.08189
2.63933,-0.07875,-0.08189
2.65932,-0.07809,-0.08189
2.67931,-0.07729,-0.08189
2.69931,-0.07636,-0.08189
2.71931,-0.07529,-0.08189
2.73931,-0.07409,-0.08189
2.75931,-0.07277,-0.08189
2.77931,-0.07131,-0.08189
2.79932,-0.06972,-0.08189
2.81932,-0.06801,-0.08189
2.83932,-0.06617,-0.08189
2.85932,-0.06422,-0.08189
2.87932,-0.06215,-0.07677
2.89930,-0.05996,-0.07166
2.91930,-0.05766,-0.07166
2.93930,-0.05526,-0.06654
2.95930,-0.05276,-0.06654
2.97930,-0.05016,-0.06654
2.99930,-0.04747,-0.06654
3.01930,-0.04469,-0.06142
3.03930,-0.04183,-0.06142
3.05929,-0.03889,-0.05118
3.07929,-0.03588,-0.04606
3.09929,-0.03281,-0.04606
3.11929,-0.02968,-0.04095
3.13929,-0.02650,-0.04095
3.15929,-0.02328,-0.03583
3.17929,-0.02002,-0.03583
3.19929,-0.01672,-0.03071
3.21929,-0.01341,-0.02559
3.23928,-0.01008,-0.02559
3.25928,-0.00673,-0.02047
3.27928,-0.00339,-0.01535
3.29928,-0.00006,-0.01535
3.31928,0.00326,-0.01024
3.33928,0.00656,-0.00512
3.35928,0.00982,-0.00512
3.37928,0.01305,0.00000
3.39927,0.01623,0.00512
3.41927,0.01935,0.00512
3.43927,0.02241,0.01024
3.45927,0.02541,0.01024
3.47927,0.02832,0.01535
3.49927,0.03115,0.02047
3.51927,0.03388,0.02047
3.53927,0.03651,0.02559
3.55927,0.03903,0.02559
3.57927,0.04144,0.03071
3.59926,0.04372,0.03071
3.61926,0.04588,0.03583
3.63926,0.04789,0.03583
3.65926,0.04977,0.03583
3.67926,0.05149,0.04095
3.69926,0.05307,0.04095
3.71926,0.05448,0.04606
3.73926,0.05573,0.04606
3.75926,0.05681,0.04606
3.77925,0.05772,0.04606
3.79925,0.05845,0.04606
3.81925,0.05900,0.04606
3.83925,0.05937,0.05118
3.85925,0.05956,0.05118
3.87925,0.05955,0.05118
3.89925,0.05936,0.05118
3.91925,0.05898,0.05118
3.93925,0.05840,0.05118
3.95925,0.05764,0.05118
3.97925,0.05669,0.05118
3.99925,0.05555,0.05118
4.01925,0.05422,0.05118
4.03925,0.05271,0.05118
4.05925,0.05102,0.05118
4.07925,0.04915,0.05118
4.09925,0.04711,0.05118
4.11924,0.04489,0.05118
4.13923,0.04251,0.04606
4.15923,0.03998,0.03583
4.17923,0.03729,0.03583
4.19923,0.03445,0.03583
4.21923,0.03148,0.03583
4.23923,0.02837,0.03071
4.25923,0.02514,0.03071
4.27923,0.02180,0.02559
4.29923,0.01835,0.02047
4.31923,0.01481,0.02047
4.33923,0.01119,0.01535
4.35922,0.00748,0.01024
4.37922,0.00372,0.00512
4.39922,-0.00010,0.00512
4.41922,-0.00396,0.00000
4.43922,-0.00785,-0.01024
4.45922,-0.01176,-0.01024
4.47922,-0.01567,-0.01024
4.49922,-0.01958,-0.01024
4.51922,-0.02347,-0.02047
4.53921,-0.02732,-0.02559
4.55921,-0.03113,-0.02559
4.57921,-0.03488,-0.03071
4.59921,-0.03856,-0.03583
4.61921,-0.04216,-0.04095
4.63921,-0.04567,-0.04606
4.65921,-0.04906,-0.04606
4.68023,-0.05234,-0.05118
4.69921,-0.05548,-0.05118
4.71921,-0.05848,-0.05118
4.73921,-0.06133,-0.05118
4.75920,-0.06401,-0.06142
4.77920,-0.06652,-0.06654
4.79920,-0.06884,-0.06654
4.81920,-0.07096,-0.06654
4.83920,-0.07288,-0.07166
4.85920,-0.07459,-0.07166
4.87920,-0.07608,-0.07677
4.89919,-0.07734,-0.07677
4.91919,-0.07836,-0.07677
4.93919,-0.07915,-0.07677
4.95919,-0.07969,-0.07677
4.97919,-0.07999,-0.08189
4.99919,-0.08004,-0.08189
5.01919,-0.07983,-0.08189
5.03919,-0.07937,-0.08189
5.05918,-0.07866,-0.08189
5.07919,-0.07769,-0.08189
5.09918,-0.07647,-0.08189
5.11919,-0.07500,-0.08189
5.13918,-0.07328,-0.08189
5.15918,-0.07133,-0.08189
5.17918,-0.06914,-0.08189
5.19918,-0.06672,-0.08189
5.21918,-0.06407,-0.08189
5.23918,-0.06122,-0.07677
5.25919,-0.05816,-0.07166
5.27919,-0.05490,-0.06654
5.29919,-0.05147,-0.06654
5.31919,-0.04786,-0.06654
5.33917,-0.04410,-0.06142
5.35917,-0.04019,-0.06142
5.37917,-0.03615,-0.05118
5.39917,-0.03200,-0.04606
5.41917,-0.02775,-0.04095
5.43916,-0.02342,-0.03583
5.45917,-0.01902,-0.03583
5.47917,-0.01458,-0.03071
5.49916,-0.01011,-0.02559
5.51916,-0.00562,-0.02047
5.53916,-0.00115,-0.01535
5.55916,0.00331,-0.01024
5.57916,0.00771,0.00000
5.59916,0.01205,0.00000
5.61916,0.01631,0.00000
5.63915,0.02047,0.00512
5.65916,0.02450,0.01024
5.67915,0.02840,0.01535
5.70315,0.03214,0.02047
5.72315,0.03570,0.02047
5.74315,0.03908,0.02559
5.76315,0.04225,0.03071
5.78315,0.04519,0.03071
5.80315,0.04789,0.03583
5.82315,0.05035,0.03583
5.84315,0.05253,0.04095
5.86314,0.05444,0.04095
5.88315,0.05607,0.04606
5.90314,0.05739,0.04606
5.92314,0.05841,0.04606
5.94314,0.05911,0.04606
5.96314,0.05950,0.05118
5.98314,0.05956,0.05118
6.00314,0.05930,0.05118
6.02313,0.05871,0.05118
6.04313,0.05779,0.05118
6.06313,0.05655,0.05118
6.08313,0.05498,0.05118
6.10313,0.05310,0.05118
6.12313,0.05090,0.05118
6.14313,0.04841,0.05118
6.16313,0.04562,0.05118
6.18313,0.04255,0.04606
6.20313,0.03922,0.04095
6.22312,0.03563,0.03071
6.24312,0.03180,0.03583
6.26312,0.02775,0.03071
6.28312,0.02350,0.02559
6.30312,0.01907,0.02559
6.32311,0.01448,0.02047
6.34311,0.00975,0.01535
6.36312,0.00491,0.01024
6.38311,-0.00003,0.00512
6.40311,-0.00503,0.00000
6.42312,-0.01007,-0.01024
6.44312,-0.01513,-0.01024
6.46312,-0.02017,-0.01535
6.48312,-0.02517,-0.02047
6.50312,-0.03011,-0.02559
6.52312,-0.03495,-0.03071
6.54312,-0.03968,-0.03583
6.56311,-0.04425,-0.04606
6.58311,-0.04866,-0.04606
6.60310,-0.05286,-0.05118
6.62310,-0.05684,-0.05118
6.64311,-0.06057,-0.05118
6.66310,-0.06404,-0.05118
6.68310,-0.06721,-0.06654
6.70310,-0.07007,-0.06654
6.72310,-0.07261,-0.07166
6.74310,-0.07479,-0.07166
6.76309,-0.07661,-0.07677
6.78309,-0.07806,-0.07677
